               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11517,            0.051105,                   0,           0.0066667,             0.52632,            0.016006,           0.0029689,             0.10158,            0.031427,                   0,              0.0973,              0.0003,              0.0003
                   1,             0.10598,            0.051653,                   0,                0.01,             0.78947,             0.17601,            0.036061,            0.082824,            0.035297,                   0,            0.093683,          0.00068267,          0.00068267
                   2,            0.095343,            0.052972,                   0,             0.34968,             0.36842,              0.3082,             0.07572,            0.075342,            0.037498,                   0,            0.090046,           0.0010455,           0.0010455
                   3,            0.087691,            0.066748,                   0,              0.4586,             0.40198,              0.4394,             0.13777,            0.063624,            0.040359,                   0,            0.086389,           0.0013886,           0.0013886
                   4,            0.077929,            0.059577,                   0,             0.47357,             0.57895,             0.50977,             0.16753,            0.058895,            0.040216,                   0,            0.082712,           0.0017119,           0.0017119
                   5,            0.074794,            0.064301,                   0,             0.39189,             0.57895,             0.53137,             0.18093,            0.058583,            0.035948,                   0,            0.079015,           0.0020154,           0.0020154
                   6,            0.070205,            0.056709,                   0,             0.41112,             0.63158,             0.45367,             0.18704,            0.059158,            0.033609,                   0,            0.075299,            0.002299,            0.002299
                   7,             0.07064,            0.057381,                   0,             0.27738,             0.73684,             0.28457,            0.082544,            0.063487,            0.032797,                   0,            0.071563,           0.0025629,           0.0025629
                   8,            0.066418,            0.049185,                   0,             0.32309,             0.84211,             0.45236,             0.13744,            0.064584,            0.031902,                   0,            0.067807,            0.002807,            0.002807
                   9,            0.065438,            0.058338,                   0,              0.3883,             0.84211,             0.43316,             0.20497,            0.055773,            0.030106,                   0,            0.064031,           0.0030313,           0.0030313
                  10,            0.063314,            0.050128,                   0,             0.55562,             0.78968,             0.74038,             0.22628,            0.064372,            0.032101,                   0,            0.060236,           0.0032357,           0.0032357
                  11,            0.062614,            0.043675,                   0,             0.48921,             0.80688,             0.70556,             0.16576,            0.061169,            0.034047,                   0,             0.05642,           0.0034204,           0.0034204
                  12,            0.063922,            0.038078,                   0,             0.42216,             0.94737,             0.63902,             0.17894,            0.055717,            0.032375,                   0,            0.052585,           0.0035853,           0.0035853
                  13,            0.060334,            0.037828,                   0,             0.30897,             0.68421,             0.51628,             0.13958,            0.065326,             0.02998,                   0,             0.04873,           0.0037304,           0.0037304
                  14,            0.057209,            0.046236,                   0,             0.41916,                   1,             0.51315,             0.26007,            0.051622,            0.024247,                   0,            0.044856,           0.0038556,           0.0038556
                  15,            0.059224,             0.03838,                   0,             0.45052,             0.47368,             0.41023,            0.091731,            0.067169,            0.023118,                   0,            0.040961,           0.0039611,           0.0039611
                  16,            0.058391,            0.037757,                   0,              0.9162,             0.57895,             0.82126,             0.38766,            0.051479,            0.020823,                   0,            0.037047,           0.0040468,           0.0040468
                  17,            0.057828,            0.036219,                   0,             0.65021,             0.84211,             0.82574,              0.2618,             0.04756,            0.019842,                   0,            0.033113,           0.0041127,           0.0041127
                  18,            0.050986,             0.03712,                   0,             0.58529,             0.78947,             0.79616,              0.2578,            0.047363,             0.01955,                   0,            0.029159,           0.0041588,           0.0041588
                  19,            0.052036,            0.035929,                   0,              0.9035,             0.98602,             0.98182,             0.55592,            0.042929,             0.01822,                   0,            0.025185,            0.004185,            0.004185
                  20,            0.059685,             0.03372,                   0,             0.58454,             0.74067,             0.78859,               0.273,            0.057024,            0.018315,                   0,            0.021192,           0.0041915,           0.0041915
                  21,            0.061923,            0.035097,                   0,             0.75543,             0.78947,             0.82254,             0.46231,            0.055132,            0.018384,                   0,            0.017178,           0.0041782,           0.0041782
                  22,            0.060114,            0.034324,                   0,             0.34392,                   1,             0.55665,             0.19727,            0.052412,            0.018139,                   0,            0.013145,            0.004145,            0.004145
                  23,            0.054102,            0.036143,                   0,             0.63261,             0.94737,             0.84726,             0.28701,            0.049149,            0.018306,                   0,           0.0090921,           0.0040921,           0.0040921
                  24,             0.04871,            0.032416,                   0,             0.93587,             0.76893,             0.91907,             0.47591,             0.04049,            0.017802,                   0,           0.0050194,           0.0040194,           0.0040194
                  25,            0.052902,            0.038233,                   0,             0.98036,                   1,               0.995,             0.49135,            0.043213,            0.017886,                   0,           0.0038125,           0.0038125,           0.0038125
                  26,            0.042691,            0.031561,                   0,             0.72436,             0.69189,             0.83299,             0.37076,            0.051619,            0.018308,                   0,           0.0038125,           0.0038125,           0.0038125
                  27,            0.050897,            0.032583,                   0,             0.68332,             0.78947,             0.82673,             0.40726,            0.052363,             0.01832,                   0,            0.003565,            0.003565,            0.003565
                  28,            0.047641,            0.034163,                   0,             0.72671,             0.83982,             0.88707,             0.35429,            0.040835,            0.017406,                   0,           0.0033175,           0.0033175,           0.0033175
                  29,            0.041095,             0.03321,                   0,             0.67693,             0.78947,             0.87018,             0.51923,            0.045111,            0.018356,                   0,             0.00307,             0.00307,             0.00307
                  30,            0.044991,            0.033792,                   0,             0.88886,                   1,             0.92824,             0.40643,            0.038461,            0.017514,                   0,           0.0028225,           0.0028225,           0.0028225
                  31,            0.038906,            0.029063,                   0,             0.77711,             0.91809,             0.94839,             0.49071,            0.039542,            0.017375,                   0,            0.002575,            0.002575,            0.002575
                  32,            0.039056,            0.035013,                   0,             0.90331,             0.94737,             0.94828,             0.42539,            0.036033,            0.017058,                   0,           0.0023275,           0.0023275,           0.0023275
                  33,            0.035003,            0.029864,                   0,             0.97963,                   1,               0.995,             0.40297,            0.040481,            0.017372,                   0,             0.00208,             0.00208,             0.00208
                  34,            0.034932,            0.031601,                   0,             0.96984,                   1,               0.995,             0.45861,            0.036186,            0.017208,                   0,           0.0018325,           0.0018325,           0.0018325
                  35,            0.035187,            0.029566,                   0,              0.9866,                   1,               0.995,             0.35341,            0.040004,            0.017616,                   0,            0.001585,            0.001585,            0.001585
                  36,            0.031927,              0.0333,                   0,             0.97986,                   1,               0.995,             0.55159,            0.031868,            0.016761,                   0,           0.0013375,           0.0013375,           0.0013375
                  37,            0.030895,            0.028445,                   0,             0.98693,                   1,               0.995,             0.39438,            0.037269,            0.017695,                   0,             0.00109,             0.00109,             0.00109
                  38,            0.031323,            0.028209,                   0,              0.9833,                   1,               0.995,             0.50997,             0.03197,            0.016777,                   0,           0.0008425,           0.0008425,           0.0008425
                  39,            0.030424,            0.026065,                   0,             0.98725,                   1,               0.995,             0.40438,             0.03603,            0.017492,                   0,            0.000595,            0.000595,            0.000595
